model_name,feature_set_name,accuracy,macro_f1,n_train_windows,n_test_windows
RF,ECG+EDA+TEMP,0.9661458333333334,0.9413420352749816,4608,1152
Boosting,ECG+EDA+TEMP,0.9322916666666666,0.8871881108428193,4608,1152
SVM,ECG+EDA+TEMP,0.7413194444444444,0.7079467224161138,4608,1152
RF,EDA-only,0.8012152777777778,0.642911281844507,4608,1152
Boosting,EDA-only,0.8125,0.6295657676966566,4608,1152
LR,ECG+EDA+TEMP,0.5972222222222222,0.5335776358572306,4608,1152
RF,ECG-only,0.7821180555555556,0.5327027304009605,4608,1152
RF,TEMP-only,0.7534722222222222,0.5178280237828865,4608,1152
SVM,ECG-only,0.6015625,0.5153337123034093,4608,1152
Boosting,ECG-only,0.7821180555555556,0.5065068883112496,4608,1152
LR,EDA-only,0.7057291666666666,0.5043106727769439,4608,1152
SVM,EDA-only,0.6666666666666666,0.47051454220340844,4608,1152
Boosting,TEMP-only,0.7604166666666666,0.45109224628725403,4608,1152
LR,ECG-only,0.4748263888888889,0.4202393192513516,4608,1152
SVM,TEMP-only,0.4192708333333333,0.38173615029551744,4608,1152
LR,TEMP-only,0.3932291666666667,0.344708268958378,4608,1152
