model_name,feature_set_name,accuracy,macro_f1,subject_accuracy_mean,subject_accuracy_std,subject_macro_f1_mean,subject_macro_f1_std
SVM,ECG+EDA+TEMP,0.58005698005698,0.4679500577722191,0.5807021502391134,0.19984937909801212,0.4469507034971491,0.1438887889908979
RF,ECG+EDA+TEMP,0.743019943019943,0.4806621284608706,0.7419646016981781,0.12090022250295483,0.4287997168223504,0.13001488334794167
Boosting,ECG+EDA+TEMP,0.6905982905982906,0.48571427549408436,0.6969139344810902,0.1316920671651419,0.42460778109340486,0.13994583766480703
LR,ECG+EDA+TEMP,0.5333333333333333,0.4554118085230568,0.5182556976078112,0.23266329026579738,0.4209474810801281,0.17671240513200706
Boosting,ECG-only,0.6923076923076923,0.467154257563649,0.7069441742926926,0.14132485007836212,0.39802467351104565,0.1516261388234599
RF,ECG-only,0.7054131054131054,0.44587821997167393,0.7166506773244373,0.11638783248674127,0.3914680186371997,0.13005379164387038
LR,EDA-only,0.588034188034188,0.42686585212326317,0.5810139243569648,0.17328268954333964,0.3913164972857929,0.1496438700656786
SVM,EDA-only,0.5487179487179488,0.4203205614434738,0.5598713919570428,0.2826758775963274,0.3903570539904349,0.20788105113446795
Boosting,TEMP-only,0.6683760683760683,0.3494787154985141,0.6767317121450502,0.1068685694325612,0.373455000121343,0.1698350310408186
LR,ECG-only,0.47977207977207975,0.39617729444086874,0.473237236055048,0.23867274348486056,0.36356735196809825,0.16009303918201195
SVM,ECG-only,0.5054131054131055,0.4012776736211467,0.49774866217577507,0.2179820944747634,0.36341121103879925,0.14205870465546921
RF,EDA-only,0.6752136752136753,0.3569244463242413,0.6857767994021842,0.13033412873758826,0.36296427963618666,0.10109422555419456
Boosting,EDA-only,0.6843304843304844,0.3323430583702815,0.6918938591306613,0.12972527407179912,0.35514702004093374,0.10206173458257062
RF,TEMP-only,0.6262108262108262,0.3378373408791555,0.6327245969789821,0.12469936083528077,0.33718562100100297,0.13212724048157842
SVM,TEMP-only,0.3754985754985755,0.32600162355128887,0.36899112270905143,0.23182911405753687,0.3050786391702892,0.17799717589092648
LR,TEMP-only,0.3418803418803419,0.31474408258281256,0.33468702556434676,0.17118423321827658,0.2760060535327975,0.13730439651217222
